"Evaluation","Journal","issnJournal","nameJournal","KnowledgeField","idKnowledgeField","nameKnowledgeField","YearEvaluation","yearIndex","Qualis","qualisIndex"
"Journal_1519-0552_KnowledgeField_23_YearEvaluation_2014_Qualis_C","Journal_1519-0552","1519-0552","Ação Ambiental (UFV)","KnowledgeField_23","23","ZOOTECNIA / RECURSOS PESQUEIROS","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1519-0552_KnowledgeField_36_YearEvaluation_2014_Qualis_B4","Journal_1519-0552","1519-0552","Ação Ambiental (UFV)","KnowledgeField_36","36","GEOGRAFIA","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1519-0552_KnowledgeField_38_YearEvaluation_2014_Qualis_B5","Journal_1519-0552","1519-0552","Ação Ambiental (UFV)","KnowledgeField_38","38","EDUCAÇÃO","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1519-0552_KnowledgeField_41_YearEvaluation_2014_Qualis_C","Journal_1519-0552","1519-0552","Ação Ambiental (UFV)","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1519-0552_KnowledgeField_42_YearEvaluation_2014_Qualis_B5","Journal_1519-0552","1519-0552","Ação Ambiental (UFV)","KnowledgeField_42","42","CIÊNCIAS AGRÁRIAS I","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1519-0552_KnowledgeField_45_YearEvaluation_2014_Qualis_B3","Journal_1519-0552","1519-0552","Ação Ambiental (UFV)","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1519-0552_KnowledgeField_48_YearEvaluation_2014_Qualis_C","Journal_1519-0552","1519-0552","Ação Ambiental (UFV)","KnowledgeField_48","48","BIOTECNOLOGIA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1519-0552_KnowledgeField_49_YearEvaluation_2014_Qualis_B3","Journal_1519-0552","1519-0552","Ação Ambiental (UFV)","KnowledgeField_49","49","CIÊNCIAS AMBIENTAIS","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1519-7859_KnowledgeField_2_YearEvaluation_2014_Qualis_C","Journal_1519-7859","1519-7859","Ação Ergonômica","KnowledgeField_2","2","CIÊNCIA DA COMPUTAÇÃO","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1519-7859_KnowledgeField_7_YearEvaluation_2014_Qualis_B5","Journal_1519-7859","1519-7859","Ação Ergonômica","KnowledgeField_7","7","BIODIVERSIDADE","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1519-7859_KnowledgeField_10_YearEvaluation_2014_Qualis_B3","Journal_1519-7859","1519-7859","Ação Ergonômica","KnowledgeField_10","10","ENGENHARIAS I","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1519-7859_KnowledgeField_12_YearEvaluation_2014_Qualis_B4","Journal_1519-7859","1519-7859","Ação Ergonômica","KnowledgeField_12","12","ENGENHARIAS II","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1519-7859_KnowledgeField_13_YearEvaluation_2014_Qualis_B4","Journal_1519-7859","1519-7859","Ação Ergonômica","KnowledgeField_13","13","ENGENHARIAS III","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1519-7859_KnowledgeField_14_YearEvaluation_2014_Qualis_B5","Journal_1519-7859","1519-7859","Ação Ergonômica","KnowledgeField_14","14","ENGENHARIAS IV","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1519-7859_KnowledgeField_21_YearEvaluation_2014_Qualis_B4","Journal_1519-7859","1519-7859","Ação Ergonômica","KnowledgeField_21","21","EDUCAÇÃO FÍSICA","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1519-7859_KnowledgeField_23_YearEvaluation_2014_Qualis_C","Journal_1519-7859","1519-7859","Ação Ergonômica","KnowledgeField_23","23","ZOOTECNIA / RECURSOS PESQUEIROS","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1519-7859_KnowledgeField_27_YearEvaluation_2014_Qualis_B4","Journal_1519-7859","1519-7859","Ação Ergonômica","KnowledgeField_27","27","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1519-7859_KnowledgeField_29_YearEvaluation_2014_Qualis_B4","Journal_1519-7859","1519-7859","Ação Ergonômica","KnowledgeField_29","29","ARQUITETURA E URBANISMO","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1519-7859_KnowledgeField_45_YearEvaluation_2014_Qualis_B3","Journal_1519-7859","1519-7859","Ação Ergonômica","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_2238-0701_KnowledgeField_31_YearEvaluation_2014_Qualis_B3","Journal_2238-0701","2238-0701","Ação Midiática - Estudos em Comunicação, Sociedade e Cultura","KnowledgeField_31","31","CIÊNCIAS SOCIAIS APLICADAS I","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_2238-0701_KnowledgeField_39_YearEvaluation_2014_Qualis_B4","Journal_2238-0701","2238-0701","Ação Midiática - Estudos em Comunicação, Sociedade e Cultura","KnowledgeField_39","39","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_2238-0701_KnowledgeField_49_YearEvaluation_2014_Qualis_B5","Journal_2238-0701","2238-0701","Ação Midiática - Estudos em Comunicação, Sociedade e Cultura","KnowledgeField_49","49","CIÊNCIAS AMBIENTAIS","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_0132-8077_KnowledgeField_6_YearEvaluation_2014_Qualis_C","Journal_0132-8077","0132-8077","Acarina: Russian journal of acarology","KnowledgeField_6","6","CIÊNCIAS BIOLÓGICAS I","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0132-8077_KnowledgeField_7_YearEvaluation_2014_Qualis_B5","Journal_0132-8077","0132-8077","Acarina: Russian journal of acarology","KnowledgeField_7","7","BIODIVERSIDADE","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_0044-586X_KnowledgeField_6_YearEvaluation_2014_Qualis_B5","Journal_0044-586X","0044-586X","Acarologia","KnowledgeField_6","6","CIÊNCIAS BIOLÓGICAS I","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_0044-586X_KnowledgeField_7_YearEvaluation_2014_Qualis_B2","Journal_0044-586X","0044-586X","Acarologia","KnowledgeField_7","7","BIODIVERSIDADE","YearEvaluation_2014","2014","Qualis_B2","B2"
"Journal_0044-586X_KnowledgeField_24_YearEvaluation_2014_Qualis_B3","Journal_0044-586X","0044-586X","Acarologia","KnowledgeField_24","24","MEDICINA VETERINÁRIA","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_0044-586X_KnowledgeField_42_YearEvaluation_2014_Qualis_B3","Journal_0044-586X","0044-586X","Acarologia","KnowledgeField_42","42","CIÊNCIAS AGRÁRIAS I","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_0044-586X_KnowledgeField_49_YearEvaluation_2014_Qualis_B5","Journal_0044-586X","0044-586X","Acarologia","KnowledgeField_49","49","CIÊNCIAS AMBIENTAIS","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1678-1996_KnowledgeField_41_YearEvaluation_2014_Qualis_B5","Journal_1678-1996","1678-1996","Acauã","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_0001-4575_KnowledgeField_16_YearEvaluation_2014_Qualis_B1","Journal_0001-4575","0001-4575","Accident Analysis and Prevention","KnowledgeField_16","16","MEDICINA II","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_0001-4575_KnowledgeField_20_YearEvaluation_2014_Qualis_A2","Journal_0001-4575","0001-4575","Accident Analysis and Prevention","KnowledgeField_20","20","ENFERMAGEM","YearEvaluation_2014","2014","Qualis_A2","A2"
"Journal_0001-4575_KnowledgeField_22_YearEvaluation_2014_Qualis_A2","Journal_0001-4575","0001-4575","Accident Analysis and Prevention","KnowledgeField_22","22","SAÚDE COLETIVA","YearEvaluation_2014","2014","Qualis_A2","A2"
"Journal_0001-4575_KnowledgeField_48_YearEvaluation_2014_Qualis_B1","Journal_0001-4575","0001-4575","Accident Analysis and Prevention","KnowledgeField_48","48","BIOTECNOLOGIA","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_0001-4575_KnowledgeField_50_YearEvaluation_2014_Qualis_B1","Journal_0001-4575","0001-4575","Accident Analysis and Prevention","KnowledgeField_50","50","NUTRIÇÃO","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_0965-2302_KnowledgeField_45_YearEvaluation_2014_Qualis_B2","Journal_0965-2302","0965-2302","Accident and Emergency Nursing","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B2","B2"
"Journal_0258-2678_KnowledgeField_3_YearEvaluation_2014_Qualis_C","Journal_0258-2678","0258-2678","Acción Crítica","KnowledgeField_3","3","ASTRONOMIA / FÍSICA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0258-2678_KnowledgeField_28_YearEvaluation_2014_Qualis_C","Journal_0258-2678","0258-2678","Acción Crítica","KnowledgeField_28","28","ECONOMIA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0258-2678_KnowledgeField_41_YearEvaluation_2014_Qualis_C","Journal_0258-2678","0258-2678","Acción Crítica","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0258-2678_KnowledgeField_45_YearEvaluation_2014_Qualis_B3","Journal_0258-2678","0258-2678","Acción Crítica","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1315-401X_KnowledgeField_37_YearEvaluation_2014_Qualis_B4","Journal_1315-401X","1315-401X","Acción Pedagógica (San Cristóbal)","KnowledgeField_37","37","PSICOLOGIA","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1368-0668_KnowledgeField_15_YearEvaluation_2014_Qualis_B2","Journal_1368-0668","1368-0668","Accounting Auditing & Accountability Journal","KnowledgeField_15","15","MEDICINA I","YearEvaluation_2014","2014","Qualis_B2","B2"
"Journal_1368-0668_KnowledgeField_19_YearEvaluation_2014_Qualis_B5","Journal_1368-0668","1368-0668","Accounting Auditing & Accountability Journal","KnowledgeField_19","19","FARMÁCIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_0963-9284_KnowledgeField_9_YearEvaluation_2014_Qualis_C","Journal_0963-9284","0963-9284","Accounting Education: An International Journal","KnowledgeField_9","9","CIÊNCIAS BIOLÓGICAS III","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0963-9284_KnowledgeField_27_YearEvaluation_2014_Qualis_B1","Journal_0963-9284","0963-9284","Accounting Education: An International Journal","KnowledgeField_27","27","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_1749-3374_KnowledgeField_28_YearEvaluation_2014_Qualis_B5","Journal_1749-3374","1749-3374","Accounting History","KnowledgeField_28","28","ECONOMIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1032-3732_KnowledgeField_28_YearEvaluation_2014_Qualis_B5","Journal_1032-3732","1032-3732","Accounting History (Geelong)","KnowledgeField_28","28","ECONOMIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1911-382X_KnowledgeField_5_YearEvaluation_2014_Qualis_B3","Journal_1911-382X","1911-382X","Accounting Perspectives","KnowledgeField_5","5","GEOCIÊNCIAS","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1068-6452_KnowledgeField_1_YearEvaluation_2014_Qualis_B5","Journal_1068-6452","1068-6452","Accounting Technology","KnowledgeField_1","1","MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_0361-3682_KnowledgeField_6_YearEvaluation_2014_Qualis_C","Journal_0361-3682","0361-3682","Accounting, Organizations and Society","KnowledgeField_6","6","CIÊNCIAS BIOLÓGICAS I","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0001-4842_KnowledgeField_4_YearEvaluation_2014_Qualis_A1","Journal_0001-4842","0001-4842","Accounts of Chemical Research","KnowledgeField_4","4","QUÍMICA","YearEvaluation_2014","2014","Qualis_A1","A1"
"Journal_0001-4842_KnowledgeField_8_YearEvaluation_2014_Qualis_A1","Journal_0001-4842","0001-4842","Accounts of Chemical Research","KnowledgeField_8","8","CIÊNCIAS BIOLÓGICAS II","YearEvaluation_2014","2014","Qualis_A1","A1"
"Journal_0001-4842_KnowledgeField_19_YearEvaluation_2014_Qualis_A1","Journal_0001-4842","0001-4842","Accounts of Chemical Research","KnowledgeField_19","19","FARMÁCIA","YearEvaluation_2014","2014","Qualis_A1","A1"
"Journal_0001-4842_KnowledgeField_49_YearEvaluation_2014_Qualis_A1","Journal_0001-4842","0001-4842","Accounts of Chemical Research","KnowledgeField_49","49","CIÊNCIAS AMBIENTAIS","YearEvaluation_2014","2014","Qualis_A1","A1"
"Journal_0949-1775_KnowledgeField_4_YearEvaluation_2014_Qualis_B3","Journal_0949-1775","0949-1775","Accreditation and Quality Assurance","KnowledgeField_4","4","QUÍMICA","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_0949-1775_KnowledgeField_12_YearEvaluation_2014_Qualis_B2","Journal_0949-1775","0949-1775","Accreditation and Quality Assurance","KnowledgeField_12","12","ENGENHARIAS II","YearEvaluation_2014","2014","Qualis_B2","B2"
"Journal_0949-1775_KnowledgeField_13_YearEvaluation_2014_Qualis_B1","Journal_0949-1775","0949-1775","Accreditation and Quality Assurance","KnowledgeField_13","13","ENGENHARIAS III","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_0949-1775_KnowledgeField_16_YearEvaluation_2014_Qualis_B2","Journal_0949-1775","0949-1775","Accreditation and Quality Assurance","KnowledgeField_16","16","MEDICINA II","YearEvaluation_2014","2014","Qualis_B2","B2"
"Journal_0949-1775_KnowledgeField_24_YearEvaluation_2014_Qualis_B1","Journal_0949-1775","0949-1775","Accreditation and Quality Assurance","KnowledgeField_24","24","MEDICINA VETERINÁRIA","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_0949-1775_KnowledgeField_42_YearEvaluation_2014_Qualis_B1","Journal_0949-1775","0949-1775","Accreditation and Quality Assurance","KnowledgeField_42","42","CIÊNCIAS AGRÁRIAS I","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_0949-1775_KnowledgeField_45_YearEvaluation_2014_Qualis_B1","Journal_0949-1775","0949-1775","Accreditation and Quality Assurance","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_1678-1880_KnowledgeField_15_YearEvaluation_2014_Qualis_B5","Journal_1678-1880","1678-1880","ACDC em Ação (Impresso)","KnowledgeField_15","15","MEDICINA I","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1678-1880_KnowledgeField_18_YearEvaluation_2014_Qualis_B5","Journal_1678-1880","1678-1880","ACDC em Ação (Impresso)","KnowledgeField_18","18","ODONTOLOGIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1678-1899_KnowledgeField_17_YearEvaluation_2014_Qualis_B5","Journal_1678-1899","1678-1899","ACDC em Ação (Online)","KnowledgeField_17","17","MEDICINA III","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1678-1899_KnowledgeField_18_YearEvaluation_2014_Qualis_B5","Journal_1678-1899","1678-1899","ACDC em Ação (Online)","KnowledgeField_18","18","ODONTOLOGIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_2027-1131_KnowledgeField_26_YearEvaluation_2014_Qualis_A2","Journal_2027-1131","2027-1131","ACDI","KnowledgeField_26","26","DIREITO","YearEvaluation_2014","2014","Qualis_A2","A2"
"Journal_0034-9798_KnowledgeField_10_YearEvaluation_2014_Qualis_C","Journal_0034-9798","0034-9798","Acero Latinoamericano","KnowledgeField_10","10","ENGENHARIAS I","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0034-9798_KnowledgeField_12_YearEvaluation_2014_Qualis_B3","Journal_0034-9798","0034-9798","Acero Latinoamericano","KnowledgeField_12","12","ENGENHARIAS II","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_0034-9798_KnowledgeField_13_YearEvaluation_2014_Qualis_B5","Journal_0034-9798","0034-9798","Acero Latinoamericano","KnowledgeField_13","13","ENGENHARIAS III","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_2237-8723_KnowledgeField_31_YearEvaluation_2014_Qualis_B3","Journal_2237-8723","2237-8723","Acervo","KnowledgeField_31","31","CIÊNCIAS SOCIAIS APLICADAS I","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_2237-8723_KnowledgeField_40_YearEvaluation_2014_Qualis_B1","Journal_2237-8723","2237-8723","Acervo","KnowledgeField_40","40","HISTÓRIA","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_2237-8723_KnowledgeField_45_YearEvaluation_2014_Qualis_B3","Journal_2237-8723","2237-8723","Acervo","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_0102-700X_KnowledgeField_7_YearEvaluation_2014_Qualis_B5","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_7","7","BIODIVERSIDADE","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_0102-700X_KnowledgeField_10_YearEvaluation_2014_Qualis_B4","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_10","10","ENGENHARIAS I","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_0102-700X_KnowledgeField_11_YearEvaluation_2014_Qualis_B3","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_11","11","ARTES / MÚSICA","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_0102-700X_KnowledgeField_22_YearEvaluation_2014_Qualis_B4","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_22","22","SAÚDE COLETIVA","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_0102-700X_KnowledgeField_26_YearEvaluation_2014_Qualis_C","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_26","26","DIREITO","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0102-700X_KnowledgeField_31_YearEvaluation_2014_Qualis_B3","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_31","31","CIÊNCIAS SOCIAIS APLICADAS I","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_0102-700X_KnowledgeField_34_YearEvaluation_2014_Qualis_B3","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_34","34","SOCIOLOGIA","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_0102-700X_KnowledgeField_35_YearEvaluation_2014_Qualis_B3","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_35","35","ANTROPOLOGIA / ARQUEOLOGIA","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_0102-700X_KnowledgeField_38_YearEvaluation_2014_Qualis_B3","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_38","38","EDUCAÇÃO","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_0102-700X_KnowledgeField_40_YearEvaluation_2014_Qualis_B1","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_40","40","HISTÓRIA","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_0102-700X_KnowledgeField_41_YearEvaluation_2014_Qualis_B2","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_B2","B2"
"Journal_0102-700X_KnowledgeField_45_YearEvaluation_2014_Qualis_B1","Journal_0102-700X","0102-700X","Acervo (Rio de Janeiro)","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_1981-867X_KnowledgeField_38_YearEvaluation_2014_Qualis_B4","Journal_1981-867X","1981-867X","Acervo On-line de Mídia Regional (UNITAU)","KnowledgeField_38","38","EDUCAÇÃO","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1981-867X_KnowledgeField_45_YearEvaluation_2014_Qualis_B4","Journal_1981-867X","1981-867X","Acervo On-line de Mídia Regional (UNITAU)","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1981-867X_KnowledgeField_46_YearEvaluation_2014_Qualis_C","Journal_1981-867X","1981-867X","Acervo On-line de Mídia Regional (UNITAU)","KnowledgeField_46","46","ENSINO","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0103-0736_KnowledgeField_14_YearEvaluation_2014_Qualis_C","Journal_0103-0736","0103-0736","Acesso (São Paulo)","KnowledgeField_14","14","ENGENHARIAS IV","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_1971-7954_KnowledgeField_21_YearEvaluation_2014_Qualis_B5","Journal_1971-7954","1971-7954","ACHAB (Online)","KnowledgeField_21","21","EDUCAÇÃO FÍSICA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1971-7954_KnowledgeField_34_YearEvaluation_2014_Qualis_B4","Journal_1971-7954","1971-7954","ACHAB (Online)","KnowledgeField_34","34","SOCIOLOGIA","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1677-8855_KnowledgeField_31_YearEvaluation_2014_Qualis_B4","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_31","31","CIÊNCIAS SOCIAIS APLICADAS I","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1677-8855_KnowledgeField_32_YearEvaluation_2014_Qualis_B5","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_32","32","SERVIÇO SOCIAL","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1677-8855_KnowledgeField_33_YearEvaluation_2014_Qualis_B5","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_33","33","FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1677-8855_KnowledgeField_34_YearEvaluation_2014_Qualis_B5","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_34","34","SOCIOLOGIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1677-8855_KnowledgeField_35_YearEvaluation_2014_Qualis_B5","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_35","35","ANTROPOLOGIA / ARQUEOLOGIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1677-8855_KnowledgeField_37_YearEvaluation_2014_Qualis_B5","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_37","37","PSICOLOGIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1677-8855_KnowledgeField_38_YearEvaluation_2014_Qualis_B4","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_38","38","EDUCAÇÃO","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_1677-8855_KnowledgeField_39_YearEvaluation_2014_Qualis_B5","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_39","39","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1677-8855_KnowledgeField_40_YearEvaluation_2014_Qualis_B3","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_40","40","HISTÓRIA","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1677-8855_KnowledgeField_44_YearEvaluation_2014_Qualis_B5","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_44","44","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_1677-8855_KnowledgeField_45_YearEvaluation_2014_Qualis_B3","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_45","45","INTERDISCIPLINAR","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_1677-8855_KnowledgeField_48_YearEvaluation_2014_Qualis_C","Journal_1677-8855","1677-8855","Achegas.net","KnowledgeField_48","48","BIOTECNOLOGIA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0329-9147_KnowledgeField_21_YearEvaluation_2014_Qualis_B5","Journal_0329-9147","0329-9147","Acheronta (Online)","KnowledgeField_21","21","EDUCAÇÃO FÍSICA","YearEvaluation_2014","2014","Qualis_B5","B5"
"Journal_0329-9147_KnowledgeField_27_YearEvaluation_2014_Qualis_C","Journal_0329-9147","0329-9147","Acheronta (Online)","KnowledgeField_27","27","ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0329-9147_KnowledgeField_31_YearEvaluation_2014_Qualis_C","Journal_0329-9147","0329-9147","Acheronta (Online)","KnowledgeField_31","31","CIÊNCIAS SOCIAIS APLICADAS I","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0329-9147_KnowledgeField_33_YearEvaluation_2014_Qualis_C","Journal_0329-9147","0329-9147","Acheronta (Online)","KnowledgeField_33","33","FILOSOFIA/TEOLOGIA:subcomissão FILOSOFIA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0329-9147_KnowledgeField_37_YearEvaluation_2014_Qualis_B3","Journal_0329-9147","0329-9147","Acheronta (Online)","KnowledgeField_37","37","PSICOLOGIA","YearEvaluation_2014","2014","Qualis_B3","B3"
"Journal_0329-9147_KnowledgeField_38_YearEvaluation_2014_Qualis_B1","Journal_0329-9147","0329-9147","Acheronta (Online)","KnowledgeField_38","38","EDUCAÇÃO","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_0329-9147_KnowledgeField_41_YearEvaluation_2014_Qualis_B4","Journal_0329-9147","0329-9147","Acheronta (Online)","KnowledgeField_41","41","LETRAS / LINGUÍSTICA","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_0329-9147_KnowledgeField_44_YearEvaluation_2014_Qualis_C","Journal_0329-9147","0329-9147","Acheronta (Online)","KnowledgeField_44","44","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA","YearEvaluation_2014","2014","Qualis_C","C"
"Journal_0889-325X_KnowledgeField_3_YearEvaluation_2014_Qualis_B4","Journal_0889-325X","0889-325X","ACI Materials Journal","KnowledgeField_3","3","ASTRONOMIA / FÍSICA","YearEvaluation_2014","2014","Qualis_B4","B4"
"Journal_0889-325X_KnowledgeField_10_YearEvaluation_2014_Qualis_A2","Journal_0889-325X","0889-325X","ACI Materials Journal","KnowledgeField_10","10","ENGENHARIAS I","YearEvaluation_2014","2014","Qualis_A2","A2"
"Journal_0889-325X_KnowledgeField_12_YearEvaluation_2014_Qualis_B1","Journal_0889-325X","0889-325X","ACI Materials Journal","KnowledgeField_12","12","ENGENHARIAS II","YearEvaluation_2014","2014","Qualis_B1","B1"
"Journal_0889-325X_KnowledgeField_13_YearEvaluation_2014_Qualis_A2","Journal_0889-325X","0889-325X","ACI Materials Journal","KnowledgeField_13","13","ENGENHARIAS III","YearEvaluation_2014","2014","Qualis_A2","A2"
